"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"1006",0.629,0.8,0.229,0.743,0.6,0.543,0.71,0.657,0.743,0.471,0.719,0.543,0.343,0.486,0.171,0.057,0.543,0.486,0.457,0.118,0.343,0.514,0,0.088,0.286,0.314,0.257,0.143,0.429,0.286,0.229,0.714,0.091,0.086,0.125,0.114,0.114,0.188,0.229,0.161,0.469,0.382,0.529,0.471,0.529,0.382,0.406,0.379,0.833,0.387,0.265,0.273,0.387,0.172,0.63,0.667,0.5,0.548,0.367,0.423,0.242
"1010",0.676,0.853,0.206,0.735,0.618,0.588,0.733,0.676,0.735,0.515,0.677,0.588,0.324,0.471,0.118,0.088,0.559,0.5,0.471,0.121,0.353,0.5,0.088,0,0.265,0.324,0.235,0.176,0.441,0.265,0.206,0.706,0.062,0.059,0.097,0.147,0.088,0.194,0.147,0.167,0.548,0.394,0.545,0.485,0.576,0.424,0.484,0.464,0.793,0.333,0.303,0.344,0.367,0.143,0.577,0.731,0.542,0.567,0.379,0.36,0.25
"1071",0.686,0.743,0.229,0.8,0.571,0.514,0.774,0.743,0.771,0.382,0.688,0.543,0.429,0.457,0.229,0.229,0.6,0.4,0.429,0.294,0.4,0.571,0.286,0.265,0,0.257,0.257,0.286,0.429,0.257,0.257,0.657,0.212,0.257,0.25,0.314,0.257,0.281,0.286,0.194,0.5,0.324,0.529,0.5,0.5,0.412,0.562,0.483,0.867,0.387,0.382,0.364,0.29,0.172,0.63,0.815,0.583,0.516,0.433,0.423,0.273
"1241",0.686,0.743,0.286,0.8,0.543,0.457,0.71,0.686,0.743,0.324,0.688,0.4,0.4,0.514,0.286,0.257,0.457,0.429,0.4,0.265,0.457,0.543,0.314,0.324,0.257,0,0.229,0.229,0.457,0.114,0.257,0.686,0.212,0.257,0.312,0.257,0.257,0.281,0.314,0.097,0.469,0.382,0.529,0.471,0.5,0.382,0.438,0.414,0.8,0.323,0.235,0.273,0.323,0.172,0.667,0.778,0.583,0.548,0.333,0.423,0.152
"1243",0.686,0.771,0.229,0.8,0.571,0.457,0.71,0.629,0.714,0.382,0.688,0.486,0.314,0.343,0.257,0.2,0.514,0.371,0.429,0.265,0.371,0.6,0.257,0.235,0.257,0.229,0,0.229,0.457,0.171,0.229,0.657,0.182,0.229,0.281,0.257,0.2,0.281,0.286,0.161,0.531,0.324,0.471,0.471,0.529,0.353,0.406,0.379,0.7,0.258,0.235,0.242,0.323,0.172,0.556,0.704,0.542,0.516,0.367,0.269,0.273
"1292",0.686,0.829,0.171,0.8,0.6,0.486,0.71,0.657,0.686,0.412,0.625,0.543,0.4,0.486,0.2,0.086,0.571,0.457,0.457,0.088,0.314,0.514,0.143,0.176,0.286,0.229,0.229,0,0.486,0.2,0.143,0.657,0.091,0.114,0.156,0.143,0.086,0.219,0.257,0.065,0.5,0.412,0.559,0.5,0.559,0.382,0.438,0.414,0.833,0.387,0.265,0.303,0.355,0.138,0.667,0.741,0.5,0.548,0.367,0.462,0.182
"1342",0.429,0.571,0.429,0.514,0.371,0.6,0.452,0.657,0.486,0.588,0.531,0.543,0.543,0.629,0.314,0.486,0.543,0.543,0.314,0.412,0.543,0.343,0.429,0.441,0.429,0.457,0.457,0.486,0,0.371,0.486,0.486,0.394,0.4,0.375,0.4,0.4,0.406,0.4,0.387,0.625,0.412,0.529,0.412,0.618,0.382,0.562,0.586,0.567,0.355,0.441,0.455,0.419,0.379,0.519,0.481,0.458,0.581,0.533,0.462,0.424
"1424",0.686,0.8,0.229,0.8,0.514,0.486,0.71,0.686,0.743,0.353,0.656,0.4,0.314,0.486,0.229,0.229,0.457,0.4,0.371,0.235,0.429,0.514,0.286,0.265,0.257,0.114,0.171,0.2,0.371,0,0.2,0.657,0.152,0.2,0.25,0.229,0.2,0.25,0.257,0.097,0.562,0.324,0.5,0.412,0.529,0.353,0.438,0.414,0.733,0.226,0.206,0.242,0.258,0.103,0.593,0.741,0.542,0.516,0.367,0.346,0.152
"1505",0.714,0.8,0.171,0.829,0.629,0.571,0.742,0.771,0.743,0.382,0.688,0.486,0.4,0.486,0.229,0.171,0.514,0.514,0.514,0.176,0.371,0.571,0.229,0.206,0.257,0.257,0.229,0.143,0.486,0.2,0,0.686,0.121,0.143,0.188,0.229,0.114,0.281,0.286,0.161,0.562,0.471,0.618,0.529,0.647,0.5,0.531,0.552,0.833,0.419,0.382,0.424,0.419,0.207,0.704,0.778,0.542,0.645,0.4,0.5,0.273
"2427",0.171,0.286,0.571,0.171,0.314,0.714,0.161,0.571,0.314,0.676,0.219,0.629,0.829,0.657,0.657,0.657,0.629,0.629,0.514,0.618,0.629,0.2,0.714,0.706,0.657,0.686,0.657,0.657,0.486,0.657,0.686,0,0.697,0.686,0.656,0.686,0.686,0.719,0.714,0.613,0.812,0.647,0.735,0.559,0.706,0.618,0.688,0.759,0.467,0.581,0.676,0.667,0.548,0.655,0.481,0.37,0.292,0.548,0.6,0.615,0.606
