"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"1010",0.6,0.636,0.057,0.657,0.714,0.6,0.6,0.657,0.6,0.543,0.286,0.6,0.242,0,0.057,0.514,0.618,0.257,0.029,0.4,0.371,0.029,0,0.143,0.2,0.057,0.062,0.371,0.257,0.029,0.613,0,0.029,0.086,0.057,0.029,0.091,0.067,0.531,0.364,0.697,0.455,0.647,0.323,0.618,0.667,0.324,0.412,0.538,0.273,0.233,0.097,0.667,0.52,0.552,0.548,0.29,0.522,0.156
"1071",0.571,0.606,0.114,0.629,0.743,0.543,0.571,0.6,0.543,0.514,0.314,0.543,0.333,0.143,0.143,0.486,0.588,0.286,0.176,0.486,0.343,0.114,0.143,0,0.114,0.114,0.125,0.371,0.171,0.118,0.581,0.118,0.114,0.143,0.143,0.114,0.152,0.067,0.594,0.424,0.758,0.515,0.706,0.355,0.676,0.697,0.412,0.5,0.577,0.364,0.333,0.194,0.667,0.56,0.517,0.581,0.258,0.478,0.125
"1241",0.571,0.576,0.171,0.571,0.743,0.514,0.571,0.514,0.543,0.514,0.371,0.6,0.242,0.2,0.2,0.486,0.588,0.229,0.235,0.514,0.314,0.171,0.2,0.114,0,0.171,0.188,0.371,0.114,0.176,0.516,0.176,0.171,0.2,0.2,0.171,0.212,0.133,0.625,0.455,0.788,0.545,0.676,0.387,0.706,0.727,0.441,0.559,0.577,0.394,0.333,0.226,0.667,0.56,0.483,0.548,0.323,0.565,0.125
"1243",0.571,0.606,0,0.629,0.714,0.571,0.543,0.629,0.571,0.486,0.229,0.543,0.303,0.057,0.057,0.457,0.559,0.257,0.088,0.457,0.343,0.029,0.057,0.114,0.171,0,0.062,0.343,0.229,0.029,0.581,0.029,0.029,0.029,0.057,0.029,0.121,0.033,0.531,0.364,0.697,0.455,0.676,0.323,0.618,0.636,0.324,0.441,0.538,0.273,0.2,0.065,0.63,0.52,0.517,0.516,0.258,0.478,0.094
"1292",0.531,0.6,0.062,0.594,0.688,0.562,0.562,0.625,0.531,0.531,0.281,0.562,0.267,0.062,0.031,0.5,0.581,0.188,0.065,0.375,0.281,0.031,0.062,0.125,0.188,0.062,0,0.344,0.188,0.032,0.536,0.032,0.031,0.094,0.062,0.031,0.133,0.074,0.581,0.387,0.71,0.484,0.656,0.31,0.625,0.645,0.344,0.406,0.52,0.29,0.25,0.103,0.654,0.435,0.481,0.5,0.207,0.524,0.133
"1342",0.429,0.303,0.343,0.314,0.686,0.343,0.743,0.371,0.6,0.629,0.543,0.571,0.394,0.371,0.343,0.629,0.676,0.4,0.382,0.514,0.2,0.343,0.371,0.371,0.371,0.343,0.344,0,0.4,0.353,0.355,0.353,0.343,0.371,0.371,0.343,0.424,0.367,0.688,0.485,0.727,0.545,0.706,0.548,0.618,0.636,0.382,0.588,0.615,0.333,0.367,0.387,0.667,0.4,0.241,0.71,0.323,0.565,0.344
"1424",0.6,0.606,0.229,0.6,0.714,0.514,0.571,0.571,0.457,0.514,0.4,0.543,0.364,0.257,0.257,0.486,0.5,0.229,0.294,0.429,0.257,0.229,0.257,0.171,0.114,0.229,0.188,0.4,0,0.235,0.548,0.235,0.229,0.257,0.257,0.229,0.242,0.2,0.625,0.394,0.727,0.485,0.618,0.387,0.647,0.667,0.382,0.5,0.577,0.333,0.367,0.29,0.667,0.52,0.448,0.484,0.258,0.522,0.094
"1505",0.559,0.594,0.029,0.618,0.706,0.559,0.559,0.618,0.559,0.5,0.265,0.559,0.273,0.029,0.029,0.471,0.576,0.235,0.061,0.441,0.353,0,0.029,0.118,0.176,0.029,0.032,0.353,0.235,0,0.567,0,0,0.059,0.029,0,0.125,0.067,0.548,0.406,0.719,0.469,0.667,0.367,0.636,0.656,0.364,0.424,0.52,0.312,0.241,0.1,0.654,0.458,0.5,0.533,0.267,0.5,0.129
"2427",0.258,0.276,0.581,0.097,0.774,0.355,0.677,0.355,0.677,0.839,0.71,0.774,0.483,0.613,0.581,0.806,0.8,0.516,0.6,0.71,0.355,0.581,0.613,0.581,0.516,0.581,0.536,0.355,0.548,0.567,0,0.6,0.581,0.581,0.613,0.581,0.655,0.577,0.679,0.586,0.793,0.621,0.633,0.593,0.667,0.759,0.467,0.7,0.727,0.448,0.577,0.556,0.833,0.304,0.24,0.778,0.519,0.684,0.536
"Byz",0.588,0.625,0.029,0.647,0.706,0.588,0.588,0.647,0.588,0.529,0.265,0.588,0.25,0,0.029,0.5,0.606,0.235,0.03,0.412,0.353,0,0,0.118,0.176,0.029,0.032,0.353,0.235,0,0.6,0,0,0.059,0.029,0,0.094,0.067,0.548,0.375,0.719,0.469,0.667,0.333,0.636,0.656,0.333,0.424,0.52,0.281,0.233,0.097,0.654,0.5,0.536,0.533,0.267,0.5,0.129
"07",0.571,0.606,0.029,0.629,0.714,0.571,0.571,0.629,0.571,0.514,0.257,0.571,0.273,0.029,0.029,0.486,0.588,0.229,0.059,0.429,0.343,0,0.029,0.114,0.171,0.029,0.031,0.343,0.229,0,0.581,0,0,0.057,0.029,0,0.121,0.067,0.562,0.394,0.727,0.485,0.676,0.355,0.647,0.667,0.353,0.441,0.538,0.303,0.233,0.097,0.667,0.48,0.517,0.548,0.258,0.522,0.125
"09",0.6,0.606,0.029,0.629,0.743,0.543,0.571,0.6,0.6,0.514,0.257,0.571,0.333,0.086,0.086,0.486,0.588,0.286,0.118,0.486,0.371,0.057,0.086,0.143,0.2,0.029,0.094,0.371,0.257,0.059,0.581,0.059,0.057,0,0.086,0.057,0.152,0.067,0.562,0.394,0.727,0.485,0.706,0.355,0.647,0.667,0.353,0.471,0.577,0.303,0.233,0.097,0.667,0.52,0.552,0.548,0.29,0.478,0.125
"011",0.6,0.636,0.057,0.657,0.743,0.6,0.543,0.657,0.543,0.486,0.229,0.543,0.303,0.057,0.057,0.457,0.559,0.257,0.088,0.457,0.371,0.029,0.057,0.143,0.2,0.057,0.062,0.371,0.257,0.029,0.613,0.029,0.029,0.086,0,0.029,0.152,0.1,0.594,0.424,0.758,0.515,0.706,0.387,0.676,0.636,0.382,0.471,0.577,0.333,0.267,0.129,0.704,0.44,0.552,0.516,0.29,0.478,0.156
"013",0.571,0.606,0.029,0.629,0.714,0.571,0.571,0.629,0.571,0.514,0.257,0.571,0.273,0.029,0.029,0.486,0.588,0.229,0.059,0.429,0.343,0,0.029,0.114,0.171,0.029,0.031,0.343,0.229,0,0.581,0,0,0.057,0.029,0,0.121,0.067,0.562,0.394,0.727,0.485,0.676,0.355,0.647,0.667,0.353,0.441,0.538,0.303,0.233,0.097,0.667,0.48,0.517,0.548,0.258,0.522,0.125
"042",0.606,0.71,0.121,0.697,0.727,0.667,0.606,0.727,0.606,0.606,0.273,0.606,0.258,0.091,0.152,0.576,0.562,0.303,0.125,0.394,0.394,0.121,0.091,0.152,0.212,0.121,0.133,0.424,0.242,0.125,0.655,0.094,0.121,0.152,0.152,0.121,0,0.143,0.5,0.323,0.677,0.419,0.656,0.276,0.625,0.645,0.344,0.469,0.52,0.29,0.286,0.138,0.68,0.625,0.607,0.586,0.241,0.571,0.167
