"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","011","013","042","Lect","it-aur","it-c","it-d","it-ff-2","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","slav"
"1006",0.4,0.6,0.229,0.6,0.433,0.774,0.5,0.576,0.294,0.455,0.5,0.258,0.286,0.2,0.214,0.143,0.143,0.2,0.529,0.314,0.114,0.171,0.324,0,0.059,0.114,0.143,0.114,0.114,0.353,0.147,0.086,0.441,0.061,0.057,0.061,0.125,0.174,0.121,0.353,0.676,0.75,0.533,0.828,0.333,0.345,0.355,0.241,0.148,0.6,0.538,0.52,0.586,0.29,0.212
"1010",0.379,0.586,0.147,0.586,0.4,0.767,0.484,0.625,0.273,0.5,0.484,0.2,0.294,0.147,0.259,0.118,0.088,0.147,0.576,0.382,0.029,0.176,0.394,0.059,0,0.118,0.059,0.088,0.029,0.303,0.152,0,0.424,0,0.029,0.031,0.032,0.091,0.091,0.364,0.667,0.741,0.483,0.786,0.312,0.357,0.333,0.25,0.222,0.625,0.56,0.583,0.679,0.367,0.219
"1071",0.467,0.633,0.257,0.633,0.433,0.774,0.5,0.545,0.265,0.424,0.531,0.226,0.2,0.2,0.179,0.229,0.171,0.2,0.441,0.343,0.143,0.171,0.382,0.114,0.118,0,0.114,0.143,0.143,0.382,0.118,0.143,0.441,0.091,0.171,0.091,0.156,0.13,0.152,0.353,0.676,0.75,0.433,0.828,0.394,0.379,0.387,0.207,0.111,0.56,0.538,0.52,0.552,0.29,0.121
"1241",0.433,0.6,0.143,0.6,0.367,0.774,0.469,0.636,0.265,0.545,0.531,0.226,0.286,0.2,0.25,0.171,0.086,0.2,0.559,0.371,0.029,0.229,0.441,0.143,0.059,0.114,0,0.086,0.029,0.353,0.118,0.057,0.412,0.03,0.086,0.091,0.062,0.13,0.091,0.353,0.647,0.75,0.433,0.793,0.333,0.379,0.323,0.241,0.185,0.64,0.538,0.56,0.655,0.355,0.212
"1243",0.467,0.633,0.171,0.633,0.4,0.806,0.5,0.636,0.265,0.515,0.5,0.258,0.314,0.229,0.214,0.2,0.086,0.229,0.529,0.343,0.057,0.2,0.353,0.114,0.088,0.143,0.086,0,0.057,0.382,0.147,0.086,0.5,0.061,0.114,0.121,0.125,0.174,0.091,0.441,0.735,0.786,0.5,0.828,0.364,0.483,0.387,0.345,0.185,0.68,0.538,0.52,0.621,0.355,0.182
"1292",0.433,0.6,0.114,0.6,0.4,0.774,0.5,0.636,0.294,0.515,0.5,0.226,0.314,0.171,0.286,0.143,0.057,0.171,0.588,0.4,0,0.2,0.412,0.114,0.029,0.143,0.029,0.057,0,0.324,0.147,0.029,0.441,0,0.057,0.061,0.062,0.13,0.061,0.382,0.676,0.75,0.467,0.793,0.303,0.414,0.323,0.276,0.222,0.64,0.577,0.6,0.69,0.387,0.242
"1342",0.517,0.379,0.382,0.517,0.31,0.733,0.375,0.562,0.273,0.531,0.419,0.333,0.412,0.324,0.407,0.382,0.324,0.324,0.636,0.471,0.324,0.412,0.353,0.353,0.303,0.382,0.353,0.382,0.324,0,0.382,0.324,0.382,0.281,0.353,0.281,0.355,0.348,0.344,0.364,0.606,0.704,0.552,0.643,0.375,0.414,0.367,0.429,0.5,0.667,0.68,0.583,0.643,0.467,0.344
"1424",0.414,0.552,0.265,0.552,0.448,0.8,0.438,0.594,0.273,0.562,0.516,0.267,0.265,0.265,0.222,0.294,0.176,0.265,0.515,0.382,0.147,0.235,0.353,0.147,0.152,0.118,0.118,0.147,0.147,0.382,0,0.176,0.382,0.125,0.206,0.156,0.194,0.174,0.156,0.394,0.636,0.815,0.552,0.857,0.438,0.379,0.367,0.286,0.115,0.708,0.44,0.417,0.536,0.267,0.219
"1505",0.4,0.6,0.143,0.6,0.4,0.774,0.5,0.636,0.294,0.515,0.5,0.226,0.314,0.171,0.286,0.114,0.086,0.171,0.588,0.4,0.029,0.2,0.412,0.086,0,0.143,0.057,0.086,0.029,0.324,0.176,0,0.441,0,0.029,0.061,0.031,0.13,0.091,0.382,0.676,0.75,0.467,0.793,0.303,0.379,0.323,0.276,0.222,0.64,0.577,0.6,0.69,0.387,0.242
"2427",0.276,0.379,0.412,0.138,0.448,0.7,0.344,0.594,0.394,0.656,0.355,0.433,0.471,0.471,0.444,0.412,0.441,0.471,0.636,0.529,0.441,0.5,0.441,0.441,0.424,0.441,0.412,0.5,0.441,0.382,0.382,0.441,0,0.406,0.441,0.406,0.452,0.391,0.406,0.394,0.636,0.704,0.621,0.607,0.5,0.379,0.4,0.393,0.423,0.583,0.4,0.417,0.679,0.5,0.469
"Byz",0.393,0.571,0.121,0.571,0.379,0.759,0.467,0.613,0.25,0.484,0.467,0.172,0.273,0.121,0.231,0.121,0.061,0.121,0.562,0.364,0,0.152,0.375,0.061,0,0.091,0.03,0.061,0,0.281,0.125,0,0.406,0,0.03,0,0.033,0.048,0.062,0.344,0.656,0.731,0.464,0.778,0.29,0.37,0.31,0.222,0.222,0.609,0.542,0.565,0.679,0.345,0.194
"07",0.4,0.6,0.171,0.6,0.4,0.774,0.5,0.636,0.324,0.515,0.5,0.258,0.343,0.2,0.286,0.086,0.114,0.2,0.588,0.371,0.057,0.229,0.382,0.057,0.029,0.171,0.086,0.114,0.057,0.353,0.206,0.029,0.441,0.03,0,0.061,0.062,0.174,0.121,0.353,0.647,0.75,0.467,0.793,0.273,0.345,0.29,0.241,0.185,0.6,0.577,0.6,0.655,0.355,0.273
"011",0.393,0.536,0.182,0.571,0.357,0.724,0.433,0.581,0.281,0.419,0.433,0.172,0.303,0.121,0.25,0.152,0.121,0.121,0.5,0.364,0.061,0.152,0.344,0.061,0.031,0.091,0.091,0.121,0.061,0.281,0.156,0.061,0.406,0,0.061,0,0.1,0.048,0.097,0.312,0.656,0.692,0.464,0.778,0.29,0.37,0.31,0.222,0.2,0.565,0.56,0.542,0.63,0.31,0.226
"013",0.444,0.667,0.188,0.63,0.444,0.75,0.552,0.633,0.29,0.5,0.586,0.241,0.344,0.219,0.32,0.125,0.094,0.219,0.562,0.438,0.062,0.25,0.484,0.125,0.032,0.156,0.062,0.125,0.062,0.355,0.194,0.031,0.452,0.033,0.062,0.1,0,0.136,0.133,0.355,0.645,0.72,0.429,0.769,0.333,0.346,0.321,0.286,0.231,0.652,0.625,0.6,0.679,0.429,0.233
"042",0.348,0.565,0.217,0.522,0.444,0.696,0.476,0.652,0.273,0.524,0.455,0.261,0.435,0.217,0.312,0.217,0.174,0.217,0.522,0.478,0.13,0.174,0.478,0.174,0.091,0.13,0.13,0.174,0.13,0.348,0.174,0.13,0.391,0.048,0.174,0.048,0.136,0,0.143,0.318,0.818,0.667,0.5,0.773,0.364,0.4,0.333,0.25,0.263,0.55,0.4,0.5,0.579,0.4,0.238
"Lect",0.393,0.571,0.121,0.571,0.4,0.759,0.533,0.613,0.281,0.516,0.467,0.241,0.303,0.182,0.308,0.152,0.061,0.182,0.594,0.424,0.061,0.212,0.406,0.121,0.091,0.152,0.091,0.091,0.061,0.344,0.156,0.091,0.406,0.062,0.121,0.097,0.133,0.143,0,0.438,0.75,0.731,0.571,0.778,0.387,0.407,0.414,0.333,0.269,0.609,0.542,0.565,0.704,0.414,0.258
