"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"011",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"013",35,33,35,35,35,35,35,35,35,35,35,35,33,35,35,35,34,35,34,35,35,35,35,35,35,35,32,35,35,34,31,34,35,35,35,35,33,30,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,31,31,23,32
"042",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,30,33,33,32,29,32,33,33,33,33,33,28,30,31,31,31,32,29,32,31,32,32,25,31,28,29,25,24,28,29,29,21,30
"Lect",30,29,30,30,30,30,30,30,30,30,30,30,29,30,30,30,29,30,29,30,30,30,30,30,30,30,27,30,30,30,26,30,30,30,30,30,28,30,27,28,28,28,29,26,29,28,29,29,21,28,26,27,22,21,25,26,26,20,27
"it-a",32,30,32,32,32,32,32,32,32,32,32,32,30,32,32,32,31,32,31,32,32,32,32,32,32,32,31,32,32,31,28,31,32,32,32,32,30,27,32,32,32,32,32,29,32,32,32,32,25,31,28,29,26,23,27,29,29,21,30
"it-aur",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,31,33,33,32,29,32,33,33,33,33,31,28,32,33,33,33,33,30,33,33,33,33,26,32,29,30,27,24,28,30,30,22,31
"it-b",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,31,33,33,32,29,32,33,33,33,33,31,28,32,33,33,33,33,30,33,33,33,33,26,32,29,30,27,24,28,30,30,22,31
"it-c",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,31,33,33,32,29,32,33,33,33,33,31,28,32,33,33,33,33,30,33,33,33,33,26,32,29,30,27,24,28,30,30,22,31
"it-d",34,32,34,34,34,34,34,34,34,34,34,34,32,34,34,34,33,34,33,34,34,34,34,34,34,34,32,34,34,33,30,33,34,34,34,34,32,29,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,30,31,22,32
"it-f",31,29,31,31,31,31,31,31,31,31,31,31,29,31,31,31,31,31,30,31,31,31,31,31,31,31,29,31,31,30,27,30,31,31,31,31,29,26,29,30,30,30,31,31,31,30,31,31,24,30,28,28,25,24,27,29,29,20,30
"it-ff-2",34,32,34,34,34,34,34,34,34,34,34,34,32,34,34,34,33,34,33,34,34,34,34,34,34,34,32,34,34,33,30,33,34,34,34,34,32,29,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,30,31,22,32
"it-i",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,31,33,33,32,29,32,33,33,33,33,31,28,32,33,33,33,33,30,33,33,33,33,26,32,29,30,27,24,28,30,30,22,31
"it-l",34,32,34,34,34,34,34,34,34,34,34,34,32,34,34,34,33,34,33,34,34,34,34,34,34,34,32,34,34,33,30,33,34,34,34,34,32,29,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,30,31,22,32
"it-q",34,32,34,34,34,34,34,34,34,34,34,34,32,34,34,34,33,34,33,34,34,34,34,34,34,34,32,34,34,33,30,33,34,34,34,34,32,29,32,33,33,33,34,31,34,33,34,34,26,33,30,31,27,25,29,30,31,22,32
"it-r-1",26,25,26,26,26,26,26,26,26,26,26,26,24,26,26,26,25,26,25,26,26,26,26,26,26,26,25,26,26,25,22,25,26,26,26,26,25,21,25,26,26,26,26,24,26,26,26,26,26,25,24,24,23,18,24,23,23,18,24
"vg",33,31,33,33,33,33,33,33,33,33,33,33,31,33,33,33,32,33,32,33,33,33,33,33,33,33,31,33,33,32,29,32,33,33,33,33,31,28,31,32,32,32,33,30,33,32,33,33,25,33,30,31,27,25,28,29,31,21,31
"syr-p",30,29,30,30,30,30,30,30,30,30,30,30,28,30,30,30,29,30,29,30,30,30,30,30,30,30,28,30,30,29,26,30,30,30,30,30,28,26,28,29,29,29,30,28,30,29,30,30,24,30,30,30,26,23,26,26,28,18,28
"syr-h",31,30,31,31,31,31,31,31,31,31,31,31,29,31,31,31,30,31,30,31,31,31,31,31,31,31,29,31,31,30,27,31,31,31,31,31,29,27,29,30,30,30,31,28,31,30,31,31,24,31,30,31,26,24,27,27,29,19,29
"syr-s",27,26,27,27,27,27,27,27,27,27,27,27,26,27,27,27,26,27,26,27,27,27,27,27,27,27,26,27,27,26,24,26,27,27,27,27,25,22,26,27,27,27,27,25,27,27,27,27,23,27,26,26,27,22,23,24,26,17,25
"cop-sa",25,24,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,24,25,25,25,25,25,25,25,23,25,25,24,23,24,25,25,25,25,24,21,23,24,24,24,25,24,25,24,25,25,18,25,23,24,22,25,23,23,25,15,24
"cop-bo",29,28,29,29,29,29,29,29,29,29,29,29,27,29,29,29,28,29,28,29,29,29,29,29,29,29,27,29,29,28,25,28,29,29,29,29,28,25,27,28,28,28,29,27,29,28,29,29,24,28,26,27,23,23,29,26,27,20,27
"arm",31,29,31,31,31,31,31,31,31,31,31,31,29,31,31,31,31,31,31,31,31,31,31,31,31,31,28,31,31,30,27,30,31,31,31,31,29,26,29,30,30,30,30,29,30,30,30,30,23,29,26,27,24,23,26,31,28,22,29
"eth",31,29,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,31,30,31,31,31,31,31,31,31,29,31,31,30,27,30,31,31,31,31,29,26,29,30,30,30,31,29,31,30,31,31,23,31,28,29,26,25,27,28,31,20,29
"geo",23,21,23,23,23,23,23,23,23,23,23,23,21,23,23,23,22,23,23,23,23,23,23,23,23,23,21,23,23,22,19,22,23,23,23,23,21,20,21,22,22,22,22,20,22,22,22,22,18,21,18,19,17,15,20,22,20,23,21
"slav",32,30,32,32,32,32,32,32,32,32,32,32,30,32,32,32,32,32,31,32,32,32,32,32,32,32,30,32,32,31,28,31,32,32,32,32,30,27,30,31,31,31,32,30,32,31,32,32,24,31,28,29,25,24,27,29,29,21,32
