"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"07",0.714,0.765,0.171,0.8,0.393,0.618,0.559,0.657,0.486,0.559,0.286,0.343,0.457,0.371,0.067,0,0.314,0.486,0.364,0.057,0.286,0.429,0.029,0.059,0.2,0.206,0.229,0.031,0.371,0.206,0.057,0.676,0,0,0,0.219,0.033,0.229,0.065,0.667,0.457,0.6,0.618,0.618,0.353,0.676,0.471,0.438,0.606,0.406,0.207,0.103,0.6,0.65,0.467,0.517,0.133
"09",0.697,0.781,0.182,0.788,0.423,0.656,0.562,0.667,0.485,0.562,0.303,0.364,0.455,0.333,0.071,0,0.333,0.485,0.387,0.061,0.303,0.424,0.03,0.031,0.212,0.188,0.242,0.033,0.364,0.188,0.061,0.656,0,0,0,0.2,0.034,0.242,0.067,0.679,0.424,0.636,0.625,0.625,0.344,0.688,0.438,0.467,0.613,0.367,0.214,0.071,0.583,0.632,0.5,0.481,0.143
"011",0.781,0.742,0.344,0.719,0.444,0.677,0.516,0.625,0.531,0.516,0.344,0.406,0.469,0.438,0.25,0.219,0.375,0.406,0.433,0.219,0.312,0.438,0.25,0.129,0.312,0.219,0.281,0.172,0.406,0.156,0.219,0.613,0.167,0.219,0.2,0,0.214,0.219,0.143,0.778,0.469,0.719,0.71,0.677,0.516,0.742,0.452,0.633,0.613,0.448,0.308,0.231,0.636,0.588,0.444,0.5,0.259
"013",0.7,0.733,0.233,0.767,0.435,0.655,0.552,0.7,0.533,0.552,0.3,0.4,0.533,0.333,0.12,0.033,0.333,0.533,0.429,0.1,0.333,0.333,0,0.103,0.267,0.207,0.167,0.074,0.367,0.2,0.1,0.621,0.036,0.033,0.034,0.214,0,0.267,0.077,0.72,0.5,0.667,0.724,0.655,0.379,0.724,0.483,0.481,0.643,0.407,0.208,0.08,0.571,0.625,0.48,0.5,0.12
"042",0.8,0.735,0.229,0.714,0.393,0.618,0.529,0.543,0.486,0.5,0.343,0.343,0.486,0.429,0.267,0.229,0.371,0.486,0.424,0.229,0.229,0.514,0.257,0.235,0.286,0.294,0.314,0.188,0.4,0.235,0.229,0.676,0.188,0.229,0.242,0.219,0.267,0,0.161,0.7,0.457,0.629,0.618,0.647,0.441,0.676,0.471,0.531,0.606,0.469,0.345,0.276,0.56,0.55,0.3,0.517,0.2
"Lect",0.774,0.767,0.258,0.71,0.417,0.7,0.533,0.613,0.516,0.5,0.194,0.29,0.355,0.29,0.077,0.065,0.226,0.355,0.379,0.065,0.258,0.452,0.097,0.1,0.194,0.167,0.258,0.036,0.226,0.067,0.065,0.6,0.036,0.065,0.067,0.143,0.077,0.161,0,0.714,0.419,0.677,0.633,0.633,0.4,0.7,0.4,0.464,0.552,0.393,0.222,0.074,0.56,0.55,0.407,0.36,0.192
"it-a",0.767,0.966,0.733,0.833,0.826,0.31,0.933,0.7,0.8,0.828,0.767,0.7,0.767,0.767,0.72,0.667,0.767,0.733,0.75,0.7,0.6,0.9,0.667,0.667,0.7,0.724,0.667,0.724,0.7,0.759,0.7,0.724,0.704,0.667,0.679,0.778,0.72,0.7,0.714,0,0.5,0.267,0.333,0.138,0.586,0.172,0.567,0.407,0.25,0.481,0.542,0.792,0.739,0.789,0.667,0.8,0.654
"it-aur",0.629,0.647,0.486,0.657,0.5,0.588,0.588,0.686,0.514,0.529,0.543,0.514,0.543,0.486,0.467,0.457,0.543,0.543,0.515,0.4,0.457,0.543,0.486,0.441,0.4,0.471,0.514,0.406,0.486,0.471,0.4,0.588,0.438,0.457,0.424,0.469,0.5,0.457,0.419,0.5,0,0.514,0.353,0.412,0.324,0.471,0.206,0.312,0.424,0.094,0.31,0.414,0.48,0.35,0.4,0.448,0.433
"it-b",0.743,0.853,0.657,0.829,0.786,0.353,0.735,0.571,0.771,0.647,0.629,0.6,0.743,0.686,0.6,0.6,0.629,0.714,0.606,0.629,0.571,0.771,0.629,0.618,0.657,0.676,0.629,0.625,0.714,0.735,0.629,0.676,0.625,0.6,0.636,0.719,0.667,0.629,0.677,0.267,0.514,0,0.353,0.235,0.559,0.235,0.588,0.344,0.333,0.562,0.586,0.724,0.68,0.65,0.533,0.828,0.533
"it-c",0.647,0.788,0.647,0.735,0.667,0.606,0.667,0.647,0.647,0.667,0.588,0.559,0.647,0.676,0.655,0.618,0.588,0.618,0.531,0.647,0.529,0.706,0.647,0.606,0.618,0.667,0.618,0.613,0.618,0.697,0.647,0.667,0.645,0.618,0.625,0.71,0.724,0.618,0.633,0.333,0.353,0.353,0,0.394,0.485,0.333,0.515,0.355,0.469,0.387,0.571,0.679,0.52,0.55,0.533,0.655,0.552
