"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"it-aur",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"it-b",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"it-c",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"it-d",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"it-f",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"it-ff-2",32,32,32,32,32,32,28,32,32,31,29,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,32,32,32,32,32,31,32,29,32,32,29,32,28,30,32,32,32,32,32,32,27,28,29,32,31,29,27,26,26,23,29,28,24,31
"it-i",29,29,29,29,29,29,28,29,29,28,26,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,29,29,29,29,29,29,29,29,26,29,29,26,29,26,27,29,29,29,29,29,27,29,25,26,29,28,26,25,22,24,20,26,26,23,28
"it-k",30,30,30,30,30,30,27,30,30,29,27,30,30,30,30,30,30,30,30,29,30,30,30,29,30,30,30,30,30,30,30,30,29,30,27,30,30,27,30,28,28,30,30,30,30,30,28,25,30,28,30,29,28,26,24,24,20,26,26,23,29
"it-l",31,31,31,31,31,31,27,31,31,30,28,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,30,31,28,31,31,28,31,27,29,31,31,31,31,31,29,26,28,31,31,30,28,26,25,24,20,27,27,23,30
"it-q",34,34,34,34,34,34,30,34,34,33,31,34,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,34,33,34,31,34,34,31,34,30,32,34,34,34,34,34,32,29,30,31,34,33,31,29,27,27,23,30,30,26,33
"vg",33,33,33,33,33,33,29,33,33,33,30,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,33,33,33,33,33,32,33,30,33,33,30,33,29,31,33,33,33,33,33,31,28,29,30,33,33,30,28,26,26,23,29,29,25,32
"syr-p",31,31,31,31,31,31,27,31,31,30,28,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,30,31,29,31,31,28,31,28,29,31,31,31,31,31,29,26,28,28,31,30,31,29,27,26,21,27,28,23,30
"syr-h",29,29,29,29,29,29,25,29,29,28,26,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,29,29,29,29,29,29,28,29,27,29,29,26,29,26,28,29,29,29,29,29,27,25,26,26,29,28,29,29,25,25,20,27,26,22,29
"syr-s",27,27,27,27,27,27,23,27,27,26,24,27,27,27,27,27,27,27,27,26,27,27,27,26,27,27,27,27,27,27,27,27,26,27,25,27,27,24,27,24,25,27,27,27,27,27,26,22,24,25,27,26,27,25,27,23,18,24,24,20,26
"cop-sa",27,27,27,27,27,27,23,27,27,26,25,27,27,27,27,27,27,27,27,26,27,27,27,26,27,27,27,27,27,27,27,27,27,27,25,27,27,26,27,24,25,27,27,27,27,27,26,24,24,24,27,26,26,25,23,27,21,25,23,20,26
"cop-bo",24,24,24,24,24,24,21,24,24,24,23,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,22,24,21,24,24,23,24,21,21,23,23,23,23,23,23,20,20,20,23,23,21,20,18,21,24,23,19,17,22
"arm",31,31,31,31,31,31,27,31,31,30,29,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,29,31,28,31,31,28,31,27,29,30,30,30,30,30,29,26,26,27,30,29,27,27,24,25,23,31,26,24,30
"eth",30,30,30,30,30,30,27,30,30,29,27,30,30,30,30,30,30,30,30,29,30,30,30,29,30,30,30,30,30,30,30,30,29,30,27,30,30,27,30,27,28,30,30,30,30,30,28,26,26,27,30,29,28,26,24,23,19,26,30,23,29
"geo",26,26,26,26,26,26,23,26,26,25,24,26,26,26,26,26,26,26,26,25,26,26,26,25,26,26,26,26,26,26,26,26,25,26,25,26,26,23,26,24,24,26,26,26,26,26,24,23,23,23,26,25,23,22,20,20,17,24,23,26,25
"slav",33,33,33,33,33,33,29,33,33,32,30,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,33,33,33,33,33,32,33,30,33,33,30,33,29,32,33,33,33,33,33,31,28,29,30,33,32,30,29,26,26,22,30,29,25,33
