"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"it-l",34,33,34,34,27,33,34,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,32,34,33,34,33,31,34,32,31,29,34,30,30,34,34,33,33,33,33,34,31,32,31,28,28,24,19,29,28,30
"it-q",32,31,32,32,28,31,31,32,32,31,32,32,32,32,28,32,32,32,30,32,32,32,32,31,32,31,32,29,32,31,32,31,29,32,30,30,27,32,28,27,32,32,31,31,31,31,31,32,31,30,27,27,23,19,28,26,28
"it-r-1",33,32,33,33,27,32,32,33,33,32,33,33,33,33,28,33,33,33,31,33,33,33,33,32,33,32,33,30,33,32,33,32,30,33,31,31,28,33,29,28,33,33,32,32,32,32,32,31,33,30,27,27,24,18,28,28,28
"vg",32,31,32,32,26,31,31,32,32,31,32,32,32,32,27,32,32,32,30,32,32,32,32,31,32,31,32,29,32,31,32,31,29,32,30,29,27,32,28,27,32,32,31,31,31,31,31,30,30,32,28,28,23,18,28,26,28
"syr-p",29,28,29,29,23,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,27,29,28,26,24,29,27,24,29,29,28,28,29,28,28,27,27,28,29,28,22,18,26,24,25
"syr-h",29,29,29,29,23,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,26,29,28,26,25,29,27,24,29,29,28,28,29,28,28,27,27,28,28,29,23,17,26,24,25
"cop-sa",25,25,25,25,19,24,24,25,25,24,25,25,25,25,20,25,25,25,23,25,25,25,25,24,25,24,25,22,25,24,25,24,22,25,24,22,21,25,25,23,25,25,25,24,24,24,24,23,24,23,22,23,25,18,23,22,21
"cop-bo",20,19,20,20,16,19,19,20,20,19,20,20,20,20,17,20,20,20,19,20,20,20,20,20,20,19,20,19,20,19,20,19,18,20,19,17,16,20,20,19,20,20,20,19,19,20,19,19,18,18,18,17,18,20,18,16,16
"arm",30,29,30,30,25,29,29,30,30,29,30,30,30,30,26,30,30,30,28,30,30,30,30,29,30,29,30,27,30,29,30,29,27,30,28,27,25,30,27,27,30,30,30,29,30,29,29,28,28,28,26,26,23,18,30,26,26
"eth",29,28,29,29,22,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,26,29,27,26,24,29,25,25,29,29,29,28,29,28,28,26,28,26,24,24,22,16,26,29,24
"slav",30,29,30,30,24,29,30,30,30,29,30,30,30,30,25,30,30,30,29,30,30,30,30,29,30,29,30,28,30,29,30,30,28,30,28,27,25,30,26,26,30,30,29,30,29,29,30,28,28,28,25,25,21,16,26,24,30
